,sentiment,emotion,Text
18642,negative,anger,"@MichaelDell ਮੈਂ ਸ਼ੁਰੂ ਤੋਂ ਹੀ @Dell ਕੰਪਿਊਟਰਾਂ 'ਤੇ ਆਪਣਾ ਕਾਰੋਬਾਰ ਚਲਾਇਆ ਹੈ। ਮੈਂ 30 ਦਸੰਬਰ, 2021 ਨੂੰ ਇੱਕ ਡੈਸਕਟਾਪ ਆਰਡਰ ਕੀਤਾ ਸੀ। ਮੈਨੂੰ ਹੁਣੇ ਹੀ ਦੂਜੇ ਆਰਡਰ ਵਿੱਚ ਦੇਰੀ ਦਾ ਨੋਟਿਸ ਮਿਲਿਆ ਹੈ। ਮੇਰੀ ਸਪੁਰਦਗੀ ਦੀ ਮਿਤੀ 22 ਮਾਰਚ ਤੋਂ 22 ਅਪ੍ਰੈਲ ਤੱਕ ਬਦਲੀ ਜਾ ਰਹੀ ਹੈ। ਕੋਈ ਛੋਟ ਦੀ ਪੇਸ਼ਕਸ਼ ਨਹੀਂ ਹੈ ਅਤੇ ਗਾਹਕ ਸੇਵਾ ਤੋਂ ਕੋਈ ਪਹੁੰਚ ਨਹੀਂ ਹੈ।"
12095,positive,joy,@moonsilva_art @UnrealEngine @Alienware @Dell Broo ਬਹੁਤ ਵਧੀਆ ਲੱਗ ਰਿਹਾ ਹੈ
1129,positive,anticipation,@Dell : @MicrosoftTeams ਸਾਨੂੰ ਲੱਗਦਾ ਹੈ ਕਿ ਉਹ ਸਮਝਣਗੇ 😇 https://t.co/4kiKS1kpes https://t.co/J2JxDP2ioJ
5439,negative,anger,@ZeroTier @Dell ਬਿਲਕੁਲ ਨਹੀਂ! ਤੁਸੀਂ ਸਾਰੇ ਤਜਰਬੇਕਾਰ ਸੁਰੱਖਿਆ ਪੇਸ਼ੇਵਰ ਹੋ ਜੋ ਕਦੇ ਵੀ ਅਣ-ਏਨਕ੍ਰਿਪਟਡ ਟ੍ਰੈਫਿਕ ਪੈਦਾ ਨਹੀਂ ਕਰਨਗੇ ਜਾਂ ਦੁਨੀਆ ਦੇ ਸਭ ਤੋਂ ਦੁਸ਼ਮਣ ਨੈੱਟਵਰਕ 'ਤੇ ਅਸੁਰੱਖਿਅਤ ਐਪਸ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰਨਗੇ...... ਠੀਕ ਹੈ? 😉
16753,negative,disgust,"@Kratos__117 @LinuxSeb @BatsouElef @Dell ਵਿੰਡੋਜ਼ ਵਧੀਆ ਕਿਉਂ ਨਹੀਂ ਹੈ?

1. ਵਿੰਡੋਜ਼ ਦੀ ਸੁਰੱਖਿਆ ਬਹੁਤ ਭਿਆਨਕ ਹੈ। ਮੈਨੂੰ macOS/Linux ਨਾਲ ਕਦੇ ਵੀ ਸੁਰੱਖਿਆ ਸਮੱਸਿਆ ਨਹੀਂ ਆਈ। ਵਿੰਡੋਜ਼ 'ਤੇ, ਤੁਹਾਨੂੰ ਬਹੁਤ ਸਾਰੇ ਮਾਲਵੇਅਰ ਦੁਆਰਾ ਨਿਸ਼ਾਨਾ ਬਣਾਇਆ ਜਾਂਦਾ ਹੈ। ਕੀ ਤੁਸੀਂ ਕਦੇ ਵੀ ਲੀਨਕਸ 'ਤੇ ਵਾਇਰਸ ਬਾਰੇ ਸੁਣਿਆ ਹੈ?

2. macOS/Linux: ਜੀਵਨ ਲਈ ਮੁਫ਼ਤ ਅੱਪਗ੍ਰੇਡ।

3. Windows11 GUI ਭਿਆਨਕ ਹੈ।"
16833,neutral,anticipation,@mikecodemonkey @Dell @pop_os_official ਇੱਕ ਮਿਆਰੀ ਵਰਕਲੋਡ ਦੇ ਅਧੀਨ ਪੌਪ ਓਐਸ ਨਾਲ ਇਸਦੀ ਬੈਟਰੀ ਲਾਈਫ ਕਿਵੇਂ ਹੈ?
6507,negative,disgust,"@Dell @DellCares ਇਸਦਾ ਕੀ ਮਤਲਬ ਹੈ, ਮੈਂ ਅਜੇ ਵੀ ਵਾਰੰਟੀ ਵਿੱਚ ਹਾਂ #dell #laptop #help https://t.co/dximi5kKwT"
18304,neutral,fear,@carlwgeorge @Dell @fedora ਮੈਨੂੰ ਬੀਟਾ ਤੋਂ ਜਾਰੀ ਹੋਣ ਤੱਕ ਅਤੇ ਮੇਰੇ dev ਸੈਟਅਪ ਨੂੰ ਹੋਜ਼ ਕਰਨ ਲਈ ਮੇਰੇ ਪੈਰਾਂ ਹੇਠੋਂ ਹਿੱਲਣ ਵਾਲੀਆਂ ਵੱਡੀਆਂ ਚੀਜ਼ਾਂ ਬਾਰੇ ਵਧੇਰੇ ਚਿੰਤਾ ਸੀ। ਪਰ ਇਹ ਅਸੰਭਵ ਜਾਪਦਾ ਹੈ
15913,negative,anger,"ਗਾਹਕ ਸੇਵਾ ਪਤਾ ਬਦਲਣ ਦੇ ਯੋਗ ਨਹੀਂ ਹੈ, ਆਦਿ... ਉਹਨਾਂ ਦੇ ਪਾਸਿਓਂ ਹੱਲ ਇਹ ਸੀ ਕਿ ਡਿਲੀਵਰੀ ਤੱਕ ਇੰਤਜ਼ਾਰ ਕਰੋ ਅਤੇ @Dell ਨਾਲ ਸੰਪਰਕ ਕਰੋ ਜੇਕਰ ਇਹ ਨਹੀਂ ਪਹੁੰਚਦਾ ਹੈ !!!
ਮੇਰਾ ਹੱਲ, ਆਰਡਰ ਰੱਦ ਕਰੋ। ਆਓ ਇਹ ਦੇਖਣ ਲਈ ਉਡੀਕ ਕਰੀਏ ਕਿ ਕੀ ਉੱਥੇ ਕੋਈ ਸਮੱਸਿਆ ਨਹੀਂ ਹੈ।"
12878,positive,joy,"ਮਨਾਉਣ ਲਈ ਬਹੁਤ ਕੁਝ ਹੈ!

AAA ਮੈਂਬਰ ਆਪਣੀ ਮਾਂ ਦੀ 👩🏻 ਡੈਡੀਜ਼ 👨🏼 ਅਤੇ ਗ੍ਰੇਡ 🧑🏽‍🎓 ਸੇਲ ਦੌਰਾਨ ਹੋਰ ਵੀ ਬੱਚਤ ਕਰਨ ਲਈ @Dell 'ਤੇ ਆਪਣੇ #AAADiscounts ਦੀ ਵਰਤੋਂ ਕਰ ਸਕਦੇ ਹਨ।

ਹੁਣੇ ਖਰੀਦੋ: https://t.co/GR2WuohV9k https://t.co/t6ZKVctVRj"
19003,positive,joy,@Dell dell ਦਾ ਸਮਰਥਨ ਕਰਨ ਲਈ ਧੰਨਵਾਦ 🙏🙏🙏 https://t.co/EufOF3ADhs
22503,negative,anger,@Dell ਡੈੱਲ ਕੰਪਨੀ ਵਿੱਚ ਬਹੁਤ ਮਾੜੀ ਸੇਵਾ ਗਾਹਕਾਂ ਦੀ ਸਮੱਸਿਆ ਦਾ ਹੱਲ ਸਿਰਫ ਮੂਰਖ ਬਣਾਉਣ ਵਿੱਚ ਹੀ ਨਹੀਂ ਕਰਦੀ
24490,positive,joy,"@KatarinaCrypto @CES @Dell @elizparks @mvollmer1 ਮੈਨੂੰ ਵੀ ਇਹ ਪਸੰਦ ਹੈ।

ਦਫ਼ਤਰ ਲਈ ਛੋਟਾ ਸਫ਼ਰ।

ਕਿਸੇ ਵੀ ਸਮੇਂ ਮੇਰੀ ਮਨਪਸੰਦ ਕੌਫੀ।

ਅਤੇ ਤੁਸੀਂ ਪਜਾਮਾ ਬੋਟਮ ਪਹਿਨ ਸਕਦੇ ਹੋ, ਜਿੰਨਾ ਚਿਰ ਤੁਸੀਂ ਖੜ੍ਹੇ ਨਹੀਂ ਹੁੰਦੇ! 😀

#CES2022 #CES"
5051,negative,anger,"@DellCares @DellCares @Dell @Dell_IN ਤੁਹਾਡੇ ਸਮਰਥਨ ਨੇ ਸੰਪਰਕ ਕੀਤਾ ਹੈ ਕਿ ਮੁੱਦੇ ਨੂੰ ਵਧਾਇਆ ਜਾਵੇਗਾ ਅਤੇ ਜਲਦੀ ਹੀ ਹੱਲ ਕੀਤਾ ਜਾਵੇਗਾ। ਪਰ ਇਸ ਮੁੱਦੇ ਨੂੰ ਸ਼ੁਰੂ ਹੋਏ 3 ਹਫ਼ਤੇ ਹੋ ਗਏ ਹਨ ਅਤੇ 1 ਹਫ਼ਤਾ ਜਦੋਂ ਤੁਸੀਂ ਸਹਾਇਤਾ ਟੀਮ ਨੇ ਮੇਰੇ ਨਾਲ ਸੰਪਰਕ ਕੀਤਾ ਹੈ, ਡੈਲ ਤੋਂ ਕਿਸੇ ਨੇ ਵੀ ਕਿਸੇ ਵੀ ਚਰਚਾ ਲਈ ਮੇਰੇ ਨਾਲ ਸੰਪਰਕ ਨਹੀਂ ਕੀਤਾ"
24254,neutral,anticipation,ਤੁਸੀਂ 21 ਅੰਕ ਹੇਠਾਂ ਤੋਂ ਵਾਪਸੀ ਨਹੀਂ ਕਰਦੇ! ਸਾਨੂੰ TV Sat &amp; ਐਤਵਾਰ ਸਵੇਰੇ 7 ਵਜੇ ਅਤੇ @riverscasinophl @__bbell @Dell @RapSnacksNow @Zipchair @ZipchairGaming @Dior #esports #gaming #nfl/ https://t.co. 0i7pfcPwra
10036,negative,disgust,@RobertGauss5 @Dell ਉਹਨਾਂ ਕੋਲ ਮੇਰੇ ਕੋਲ ਵੀ ਹੈ। ਹੈਰਾਨੀ ਹੋਈ ਕਿ ਇਹ ਇੰਨੀ ਪਰੇਸ਼ਾਨੀ ਹੈ।
24272,neutral,anticipation,"ਕੋਈ ਵੀ @Dell U4021QW ਉਪਭੋਗਤਾਵਾਂ ਕੋਲ ਅਜੀਬ USB ਲਾਕਅੱਪ ਹਨ?

ਵਿੰਡੋਜ਼ 10 'ਤੇ ਚੱਲ ਰਿਹਾ ਡੈਲ ਪ੍ਰਿਸੀਜ਼ਨ 5820 ਵਰਕਸਟੇਸ਼ਨ।

ਪੀਸੀ ਅਤੇ ਮਾਨੀਟਰ ਨੂੰ ਜੋੜਨ ਵਾਲੀਆਂ ਕਈ ਕੇਬਲਾਂ ਦੀ ਕੋਸ਼ਿਸ਼ ਕੀਤੀ - ਉਹੀ ਨਤੀਜੇ.

ਇਹ ਦੇਖਣ ਲਈ ਕਿ ਕੀ ਇਹ ਮਦਦ ਕਰੇਗਾ ਫਰਮਵੇਅਰ M2T102 ਨੂੰ ਅੱਪਡੇਟ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ।

ਮੇਰੇ ਟਾਈਪ ਕਰਦੇ ਸਮੇਂ ਅਚਾਨਕ ਕੀਬੋਰਡ ਗੁਆਉਣ ਦਾ ਦਰਦ!"
24895,negative,anger,ਦਿਨ 42... ਅਜੇ ਵੀ @Dell @DellOutlet ਤੋਂ ਕੋਈ ਜਵਾਬ ਨਹੀਂ... #dell https://t.co/Zh328ILYFq ਦੁਆਰਾ ਸਭ ਤੋਂ ਬੁਰੀ ਸੇਵਾ
11308,negative,anger,ਇਹਨਾਂ ਦਾ ਬਾਈਕਾਟ ਕਰੋ। ਸਾਨੂੰ ਕਿਸੇ ਵੀ ਕੰਪਨੀ ਨੂੰ ਪੈਸੇ ਦੇਣ ਦੀ ਲੋੜ ਨਹੀਂ ਹੈ ਜੋ ਗੈਰ-ਅਮਰੀਕੀ ਕਦਰਾਂ-ਕੀਮਤਾਂ ਨੂੰ ਅੱਗੇ ਵਧਾ ਰਹੀ ਹੈ। ਬਿਮਾਰ ਗੰਦ. @dell @Adobe @intel @hp @Bayer @USDA ਟੈਕਸ ਦਾਤਾ ਏਜੰਸੀ ਸਾਡੇ ਬੱਚਿਆਂ 'ਤੇ ਐਂਟੀ-ਅਮਰੀਕਨ ਮੁੱਲਾਂ ਨੂੰ ਕਿਉਂ ਧੱਕ ਰਹੀ ਹੈ??????? ਵਧੀਆ ਸਵਾਲ. https://t.co/UQgN5OfB4s
18253,positive,joy,@KanikaTolver @Dell @virtualized6ix ਵਾਹ... ਮੈਨੂੰ ਇੱਕ ਚਾਹੀਦਾ ਹੈ
9505,neutral,anticipation,@mikecodemonkey @Dell ਮੈਂ ਆਪਣਾ ਟੈਗ ਦੇਖਣ ਤੋਂ ਪਹਿਲਾਂ ਟਿੱਪਣੀ ਕੀਤੀ ਸੀ। 🙈
3077,negative,anticipation,"ਕਿਸੇ ਚੀਜ਼ ਨੂੰ ਨਾ ਛੱਡੋ, ਮੈਂ ਪਹਿਲਾਂ ਹੀ https://t.co/Sy6IqrnkZi #Live #Twitchtv #Worldofships @dell @alienware @loupedeck https://t.co/9ZNXoYOA1n 'ਤੇ ਭੁੱਲ ਗਿਆ ਹਾਂ"
1979,neutral,joy,"ਏਹ, @ ਡੈਲ, ਤੁਸੀਂ ਲੋਕ ਠੀਕ ਹੋ? ਤੁਹਾਡੀ ਡੱਚ ਕੂਕੀ ਪੌਪਅੱਪ ਕਹਿੰਦੀ ਹੈ ""ਹਰ ਕੋਈ ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ ਹੈ"" 😂
ਪੂਰਾ ਯਕੀਨ ਹੈ ਕਿ ਇਸ ਵਿੱਚ ""ਆਲਸ ਆਂਵਾਰਦੇਨ"" ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ। https://t.co/MYv9CHZnPz"
